file,segments,intersections,time
"problem1.txt",4,3,2
"problem1.txt",4,3,2
"problem2.txt",4,4,2
"fichier3.txt",63,294,13
"problem1.txt",4,3,2
"problem5.txt",4,5,3
"test5.txt",2,0,1
"test2.txt",3,2,2
"test2.txt",3,2,2
"test3.txt",2,0,2
"problem4.txt",3,3,2
"test5.txt",2,0,2
"fichier3.txt",63,294,12
"test1.txt",2,1,2
"problem1.txt",4,3,2
"test5.txt",2,0,2
"fichier1.txt",45,199,12
"problem3.txt",5,4,3
"test3.txt",2,0,2
"problem1.txt",4,3,3
"problem2.txt",4,4,2
"test5.txt",2,0,2
"fichier1.txt",45,199,10
"fichier3.txt",63,294,14
"test5.txt",2,0,1
"test6.txt",1,0,2
"test4.txt",2,1,2
"test1.txt",2,1,2
"fichier1.txt",45,199,11
"fichier3.txt",63,294,12
"fichier4.txt",75,629,20
"problem5.txt",4,5,3
"fichier3.txt",63,294,11
"problem3.txt",5,4,2
"test4.txt",2,1,2
"test5.txt",2,0,2
"test3.txt",2,0,2
"problem1.txt",4,3,3
"problem3.txt",5,4,2
"test5.txt",2,0,2
"fichier5.txt",48,216,9
"problem1.txt",4,3,3
"test1.txt",2,1,2
"fichier4.txt",75,629,18
"test5.txt",2,0,2
"test5.txt",2,0,2
"fichier5.txt",48,216,9
"test1.txt",2,1,2
"problem2.txt",4,4,3
"test2.txt",3,2,2
"fichier1.txt",45,199,9
"problem5.txt",4,5,3
"problem1.txt",4,3,2
"fichier5.txt",48,216,11
"fichier3.txt",63,294,11
"fichier4.txt",75,629,18
"test1.txt",2,1,2
"test1.txt",2,1,1
"test2.txt",3,2,2
"test4.txt",2,1,2
"problem5.txt",4,5,2
"test3.txt",2,0,2
"problem5.txt",4,5,3
"problem1.txt",4,3,2
"problem1.txt",4,3,2
"problem3.txt",5,4,2
"fichier3.txt",63,294,15
"problem3.txt",5,4,2
"test4.txt",2,1,2
"problem1.txt",4,3,2
"fichier1.txt",45,199,9
"fichier2.txt",442,22176,137
"problem2.txt",4,4,3
"test4.txt",2,1,2
"test5.txt",2,0,1
"fichier2.txt",442,22176,156
"problem3.txt",5,4,3
"problem5.txt",4,5,3
"test6.txt",1,0,1
"test4.txt",2,1,1
"problem3.txt",5,4,3
"fichier3.txt",63,294,15
"problem1.txt",4,3,3
"problem4.txt",3,3,2
"test1.txt",2,1,2
"fichier1.txt",45,199,10
"test6.txt",1,0,2
"problem1.txt",4,3,2
"test6.txt",1,0,2
"test5.txt",2,0,2
"fichier1.txt",45,199,9
"test3.txt",2,0,2
"fichier5.txt",48,216,10
"problem3.txt",5,4,2
"problem3.txt",5,4,3
"fichier3.txt",63,294,10
"fichier4.txt",75,629,28
"fichier1.txt",45,199,9
"fichier2.txt",442,22176,136
"test1.txt",2,1,2
"fichier2.txt",442,22176,144
"fichier2.txt",442,22176,140
"fichier5.txt",48,216,14
"problem2.txt",4,4,3
"problem4.txt",3,3,2
"test2.txt",3,2,2
"test6.txt",1,0,2
"fichier5.txt",48,216,10
"test2.txt",3,2,2
"test1.txt",2,1,2
"problem1.txt",4,3,2
"fichier4.txt",75,629,20
"problem1.txt",4,3,3
"test4.txt",2,1,2
"test3.txt",2,0,2
"problem1.txt",4,3,3
"test2.txt",3,2,2
"test4.txt",2,1,2
"problem5.txt",4,5,2
"problem2.txt",4,4,3
"fichier2.txt",442,22176,140
